V_Id_Pagamento,prezzo,Ammontare_Senza_Iva,Aliquota_Iva,Metodo_Pagamento,Conto_Appoggio,Id_Vendita
7e+05,8619324,8629118,4,Carta di Credito,Intesa San Paolo,8e+05
700001,391933.82,393683.82,4,Contanti,Banca Popolare,800001
700002,6728223,6733585,22,Bonifico,Banca Popolare,800002
700003,4189572.84,4195006.8399999999,22,Contanti,Banca Popolare,800003
700004,3275192.57,3280759.5699999998,4,Carta di Credito,Intesa San Paolo,800004
700005,2762301.06,2771616.0600000001,22,Assegno,Banca Popolare,800005
700006,5925652,5929802,4,Contanti,Intesa San Paolo,800006
700007,9632494,9641110,4,Carta di Credito,Unicredit,800007
700008,8566083,8569825,22,Assegno,Intesa San Paolo,800008
700009,6459657,6467655,22,Contanti,Banca Popolare,800009
700010,2823126,2827815,22,Contanti,Intesa San Paolo,800010
700011,5062705,5071185,22,Carta di Credito,Intesa San Paolo,800011
700012,6061836.19,6063048.1900000004,22,Carta di Credito,Unicredit,800012
700013,5875978,5883988,4,Carta di Credito,Unicredit,800013
700014,4280806,4286723,4,Carta di Credito,Intesa San Paolo,800014
700015,1729011.71,1733519.71,22,Assegno,Intesa San Paolo,800015
700016,1361794.99,1370750.99,4,Contanti,Banca Popolare,800016
700017,910205.46,916078.46,4,Carta di Credito,Banca Popolare,800017
700018,4597375,4601289,4,Carta di Credito,Unicredit,800018
700019,5226698.54,5230245.54,22,Carta di Credito,Unicredit,800019
700020,5750217,5756097,4,Bonifico,Intesa San Paolo,800020
700021,2797920.57,2799244.5699999998,22,Assegno,Intesa San Paolo,800021
700022,1790010.66,1798393.6599999999,4,Carta di Credito,Banca Popolare,800022
700023,8888012,8895716,22,Carta di Credito,Intesa San Paolo,800023
700024,5880555.4,5886219.4000000004,22,Bonifico,Unicredit,800024
700025,7621959,7629567,22,Contanti,Unicredit,800025
700026,8411449,8418742,22,Contanti,Unicredit,800026
700027,239958.31,246098.31,4,Contanti,Banca Popolare,800027
700028,3898343.32,3906924.3199999998,4,Bonifico,Intesa San Paolo,800028
700029,5552111,5558468,4,Assegno,Unicredit,800029
700030,2292135.31,2298923.3100000001,4,Carta di Credito,Banca Popolare,800030
700031,4527867,4537189,4,Bonifico,Unicredit,800031
700032,7217554,7226816,22,Contanti,Intesa San Paolo,800032
700033,9100383,9106299,4,Assegno,Intesa San Paolo,800033
700034,6274781,6280475,4,Assegno,Banca Popolare,800034
700035,1139894,1142779,4,Assegno,Banca Popolare,800035
700036,105604.08,113233.08,22,Bonifico,Unicredit,800036
700037,6482625.49,6484094.4900000002,22,Bonifico,Unicredit,800037
700038,5413996.95,5420665.9500000002,4,Carta di Credito,Banca Popolare,800038
700039,1895391.41,1898269.4099999999,4,Bonifico,Banca Popolare,800039
700040,5677638.26,5680911.2599999998,4,Carta di Credito,Banca Popolare,800040
700041,9152899,9156649,4,Carta di Credito,Banca Popolare,800041
700042,3990970.09,3992375.0899999999,4,Carta di Credito,Intesa San Paolo,800042
700043,8236960.15,8241267.1500000004,22,Assegno,Banca Popolare,800043
700044,2650580.9,2654053.8999999999,4,Contanti,Intesa San Paolo,800044
700045,5855115,5863722,4,Bonifico,Intesa San Paolo,800045
700046,6985400.44,6989908.4400000004,22,Carta di Credito,Intesa San Paolo,800046
700047,864121.98,866072.98,22,Assegno,Intesa San Paolo,800047
700048,6628014.72,6632625.7199999997,22,Bonifico,Banca Popolare,800048
700049,8212761,8214741,22,Contanti,Intesa San Paolo,800049
700050,7571629,7576523,22,Bonifico,Intesa San Paolo,800050
700051,125131.82,131995.82,22,Carta di Credito,Banca Popolare,800051
700052,612905,617818,4,Contanti,Banca Popolare,800052
700053,8005602,8008629,4,Bonifico,Unicredit,800053
700054,1990407,1993242,4,Bonifico,Banca Popolare,800054
700055,4971367.14,4976234.1399999997,4,Bonifico,Banca Popolare,800055
700056,5624625.75,5629723.75,22,Assegno,Intesa San Paolo,800056
700057,7898199.17,7900864.1699999999,22,Carta di Credito,Banca Popolare,800057
700058,7767188,7770684,4,Assegno,Banca Popolare,800058
700059,2215008.21,2218835.21,22,Assegno,Unicredit,800059
700060,3211712,3218477,22,Assegno,Intesa San Paolo,800060
700061,3348423,3354466,4,Assegno,Intesa San Paolo,800061
700062,4327784,4334439,22,Assegno,Unicredit,800062
700063,3794610,3802916,22,Contanti,Unicredit,800063
700064,8721996,8731526,22,Assegno,Banca Popolare,800064
700065,9792904,9800572,22,Contanti,Unicredit,800065
700066,3678061.18,3684721.1800000002,22,Contanti,Banca Popolare,800066
700067,2484565.76,2493493.7599999998,4,Contanti,Banca Popolare,800067
700068,1971580.01,1979188.01,4,Assegno,Intesa San Paolo,800068
700069,1184172.74,1188584.74,4,Bonifico,Intesa San Paolo,800069
700070,4035473.4,4040357.3999999999,22,Carta di Credito,Intesa San Paolo,800070
700071,1435295.86,1444779.8600000001,22,Contanti,Unicredit,800071
700072,2582820.47,2587870.4700000002,4,Contanti,Intesa San Paolo,800072
700073,4675453.99,4685340.9900000002,22,Bonifico,Banca Popolare,800073
700074,9977078,9980330,4,Assegno,Intesa San Paolo,800074
700075,7631006.65,7638793.6500000004,22,Assegno,Intesa San Paolo,800075
700076,2443790.15,2447931.1499999999,22,Carta di Credito,Intesa San Paolo,800076
700077,5339767.2,5347649.2000000002,4,Contanti,Unicredit,800077
700078,3331996.46,3336513.46,4,Carta di Credito,Banca Popolare,800078
700079,2966630.94,2968053.9399999999,4,Bonifico,Intesa San Paolo,800079
700080,4303344,4304645,4,Carta di Credito,Banca Popolare,800080
700081,4138863.61,4141081.6099999999,22,Contanti,Intesa San Paolo,800081
700082,6659332.53,6662139.5300000003,22,Contanti,Unicredit,800082
700083,1656694.56,1666072.5600000001,22,Contanti,Intesa San Paolo,800083
700084,655991.82,663309.8199999999,22,Carta di Credito,Banca Popolare,800084
700085,6313256,6317178,4,Bonifico,Banca Popolare,800085
700086,7516768,7522752,22,Carta di Credito,Unicredit,800086
700087,4021383,4023893,4,Bonifico,Unicredit,800087
700088,7617634,7619597,22,Carta di Credito,Banca Popolare,800088
700089,9190097,9198213,4,Bonifico,Banca Popolare,800089
700090,5482224,5485407,4,Assegno,Banca Popolare,800090
700091,2690623.4,2697392.3999999999,4,Assegno,Banca Popolare,800091
700092,6910593.17,6913427.1699999999,4,Bonifico,Intesa San Paolo,800092
700093,2757520.16,2760750.1600000001,4,Contanti,Unicredit,800093
700094,3027771.83,3037764.8300000001,22,Bonifico,Banca Popolare,800094
700095,191774.27,197746.27,22,Bonifico,Banca Popolare,800095
700096,9100179,9104748,22,Assegno,Banca Popolare,800096
700097,321562.32,327800.32,4,Carta di Credito,Unicredit,800097
700098,1507690.82,1510456.8200000001,4,Bonifico,Banca Popolare,800098
700099,1175530.63,1180766.6299999999,22,Assegno,Banca Popolare,800099
700100,4572433,4576726,22,Contanti,Intesa San Paolo,800100
700101,988113.41,990315.41,4,Carta di Credito,Banca Popolare,800101
700102,5361550.67,5367516.6699999999,4,Carta di Credito,Banca Popolare,800102
700103,5729135.24,5738273.2400000002,22,Carta di Credito,Intesa San Paolo,800103
700104,1913856.26,1919737.26,22,Assegno,Banca Popolare,800104
700105,9027653,9034313,4,Assegno,Intesa San Paolo,800105
700106,6922561,6928240,4,Bonifico,Unicredit,800106
700107,2274237.91,2276610.9100000001,22,Assegno,Unicredit,800107
700108,9817305,9823211,4,Carta di Credito,Banca Popolare,800108
700109,744667.13,750232.13,22,Assegno,Banca Popolare,800109
700110,9952414,9960211,4,Assegno,Intesa San Paolo,800110
700111,9764100,9772190,4,Carta di Credito,Unicredit,800111
700112,8987922,8989074,22,Assegno,Unicredit,800112
700113,1615714.97,1623450.97,4,Assegno,Unicredit,800113
700114,6548814.83,6550070.8300000001,22,Bonifico,Unicredit,800114
700115,7181631.2,7183437.2000000002,4,Contanti,Intesa San Paolo,800115
700116,9413255,9415336,22,Assegno,Intesa San Paolo,800116
700117,3070610,3073261,4,Assegno,Banca Popolare,800117
