data_inizio,data_fine,Brand,Percentuale_Sconto,Modello
2022-03-13,2022-03-20 14:50:14 UTC,Acura,18,CL
2021-12-20,2021-12-23 07:14:56 UTC,Chevrolet,23,Suburban 1500
2022-02-06,2022-03-08 11:33:17 UTC,Oldsmobile,8,Alero
2022-01-17,2022-02-09 05:26:36 UTC,Mitsubishi,23,Galant
2021-12-24,2022-01-20 18:12:10 UTC,Chevrolet,25,Express 1500
2022-05-16,2022-06-10 05:09:55 UTC,Ford,18,Thunderbird
2021-09-06,2021-10-01 21:22:49 UTC,Ford,21,Ranger
2021-11-17,2021-11-21 23:41:32 UTC,Cadillac,5,DTS
2022-04-18,2022-04-21 12:55:55 UTC,Jeep,5,Wrangler
2022-03-18,2022-03-29 07:14:33 UTC,Suzuki,7,SJ
2022-01-10,2022-02-09 09:56:01 UTC,Cadillac,20,Seville
2022-04-30,2022-05-28 19:40:35 UTC,Tesla,17,Roadster
2022-06-04,2022-06-12 22:03:19 UTC,Cadillac,28,Escalade EXT
2021-09-23,2021-09-26 22:46:24 UTC,Mercedes-Benz,10,SLS AMG
2021-10-07,2021-10-28 19:14:44 UTC,Jaguar,12,XK
2022-02-03,2022-02-17 12:38:06 UTC,Ford,8,Bronco
2022-07-23,2022-08-07 17:43:55 UTC,Lotus,18,Exige
2022-02-11,2022-02-22 10:18:05 UTC,Acura,12,RSX
2022-07-12,2022-07-23 10:07:43 UTC,GMC,9,Envoy XUV
2021-10-02,2021-10-12 20:10:03 UTC,Nissan,17,Rogue
2022-07-06,2022-08-02 16:40:06 UTC,Mazda,29,626
2022-03-31,2022-04-03 03:52:31 UTC,Saturn,26,S-Series
2021-12-10,2021-12-14 23:24:10 UTC,Volkswagen,13,Touareg
2021-10-06,2021-10-15 02:19:20 UTC,Mitsubishi,12,Montero Sport
2022-02-15,2022-03-09 00:33:43 UTC,Pontiac,29,G8
2022-07-14,2022-08-05 04:31:13 UTC,Mercedes-Benz,8,GLK-Class
2022-07-05,2022-07-26 00:46:16 UTC,Mercury,14,Topaz
2022-03-02,2022-03-17 05:34:03 UTC,Nissan,14,Pathfinder
2021-12-22,2022-01-21 08:59:34 UTC,Nissan,26,Pathfinder
2022-07-09,2022-08-04 14:29:55 UTC,Mitsubishi,10,Lancer Evolution
2021-11-06,2021-11-19 07:43:07 UTC,Chrysler,13,LeBaron
2021-10-25,2021-11-02 05:00:21 UTC,Pontiac,24,Grand Prix
2022-01-08,2022-01-10 23:52:34 UTC,Dodge,20,Dakota Club
2022-07-29,2022-08-18 01:35:13 UTC,Citroën,30,SM
2022-02-12,2022-03-10 02:38:58 UTC,Mazda,28,B-Series Plus
2021-12-28,2022-01-18 11:44:31 UTC,Chrysler,30,Pacifica
2021-09-24,2021-10-13 01:02:22 UTC,Volkswagen,6,Eurovan
2022-06-12,2022-06-29 20:18:37 UTC,GMC,27,EV1
2022-01-03,2022-01-11 12:07:06 UTC,GMC,12,1500
2021-09-29,2021-10-06 02:59:41 UTC,Mazda,14,Miata MX-5
2022-05-19,2022-06-04 05:24:19 UTC,Chevrolet,7,Silverado
2022-01-15,2022-02-14 02:43:21 UTC,Porsche,8,Cayman
2022-01-23,2022-02-17 08:40:23 UTC,Nissan,19,Frontier
2021-11-22,2021-11-23 17:00:15 UTC,Chevrolet,28,Prizm
2022-05-24,2022-06-15 14:59:06 UTC,Nissan,28,Murano
2021-09-23,2021-10-12 11:33:46 UTC,Isuzu,25,Ascender
2022-04-23,2022-05-19 21:51:32 UTC,Ford,25,Explorer
2022-06-23,2022-07-16 10:21:22 UTC,Mercedes-Benz,19,S-Class
2022-07-07,2022-07-12 22:22:13 UTC,Mercury,19,Mariner
2022-07-09,2022-08-01 06:12:51 UTC,BMW,27,X5
2022-02-14,2022-02-23 15:36:28 UTC,Saturn,20,Sky
