Id_Promozione,Data_Inizio,Data_Fine,Brand,Percentuale_Sconto,Modello
150000,2022-03-13,2022-03-20,Acura,18,CL
150001,2021-12-20,2021-12-23,Chevrolet,23,"Suburban 1500"
150002,2022-02-06,2022-03-08,Oldsmobile,8,Alero
150003,2022-01-17,2022-02-09,Mitsubishi,23,Galant
150004,2021-12-24,2022-01-20,Chevrolet,25,"Express 1500"
150005,2022-05-16,2022-06-10,Ford,18,Thunderbird
150006,2021-09-06,2021-10-01,Ford,21,Ranger
150007,2021-11-17,2021-11-21,Cadillac,5,DTS
150008,2022-04-18,2022-04-21,Jeep,5,Wrangler
150009,2022-03-18,2022-03-29,Suzuki,7,SJ
150010,2022-01-10,2022-02-09,Cadillac,20,Seville
150011,2022-04-30,2022-05-28,Tesla,17,Roadster
150012,2022-06-04,2022-06-12,Cadillac,28,"Escalade EXT"
150013,2021-09-23,2021-09-26,Mercedes-Benz,10,"SLS AMG"
150014,2021-10-07,2021-10-28,Jaguar,12,XK
150015,2022-02-03,2022-02-17,Ford,8,Bronco
150016,2022-07-23,2022-08-07,Lotus,18,Exige
150017,2022-02-11,2022-02-22,Acura,12,RSX
150018,2022-07-12,2022-07-23,GMC,9,"Envoy XUV"
150019,2021-10-02,2021-10-12,Nissan,17,Rogue
150020,2022-07-06,2022-08-02,Mazda,29,626
150021,2022-03-31,2022-04-03,Saturn,26,S-Series
150022,2021-12-10,2021-12-14,Volkswagen,13,Touareg
150023,2021-10-06,2021-10-15,Mitsubishi,12,"Montero Sport"
150024,2022-02-15,2022-03-09,Pontiac,29,G8
150025,2022-07-14,2022-08-05,Mercedes-Benz,8,GLK-Class
150026,2022-07-05,2022-07-26,Mercury,14,Topaz
150027,2022-03-02,2022-03-17,Nissan,14,Pathfinder
150028,2021-12-22,2022-01-21,Nissan,26,Pathfinder
150029,2022-07-09,2022-08-04,Mitsubishi,10,"Lancer Evolution"
150030,2021-11-06,2021-11-19,Chrysler,13,LeBaron
150031,2021-10-25,2021-11-02,Pontiac,24,"Grand Prix"
150032,2022-01-08,2022-01-10,Dodge,20,"Dakota Club"
150033,2022-07-29,2022-08-18,Citroën,30,SM
150034,2022-02-12,2022-03-10,Mazda,28,"B-Series Plus"
150035,2021-12-28,2022-01-18,Chrysler,30,Pacifica
150036,2021-09-24,2021-10-13,Volkswagen,6,Eurovan
150037,2022-06-12,2022-06-29,GMC,27,EV1
150038,2022-01-03,2022-01-11,GMC,12,1500
150039,2021-09-29,2021-10-06,Mazda,14,"Miata MX-5"
150040,2022-05-19,2022-06-04,Chevrolet,7,Silverado
150041,2022-01-15,2022-02-14,Porsche,8,Cayman
150042,2022-01-23,2022-02-17,Nissan,19,Frontier
150043,2021-11-22,2021-11-23,Chevrolet,28,Prizm
150044,2022-05-24,2022-06-15,Nissan,28,Murano
150045,2021-09-23,2021-10-12,Isuzu,25,Ascender
150046,2022-04-23,2022-05-19,Ford,25,Explorer
150047,2022-06-23,2022-07-16,Mercedes-Benz,19,S-Class
150048,2022-07-07,2022-07-12,Mercury,19,Mariner
150049,2022-07-09,2022-08-01,BMW,27,X5
150050,2022-02-14,2022-02-23,Saturn,20,Sky
150051,2022-07-06,2022-07-11,GMC,30,3500
150052,2021-11-07,2021-12-03,Lincoln,22,"Town Car"
150053,2022-04-10,2022-05-03,Toyota,28,"Land Cruiser"
150054,2022-03-04,2022-03-22,Volvo,9,940
150055,2022-03-26,2022-04-15,Lotus,26,Elan
150056,2022-07-01,2022-07-22,Volkswagen,8,Passat
150057,2022-05-28,2022-06-01,Chevrolet,20,Venture
150058,2021-09-03,2021-10-02,Ford,9,GT500
150059,2022-07-21,2022-08-13,Audi,23,S4
150060,2021-09-21,2021-10-01,Bentley,9,Continental
150061,2022-07-02,2022-07-20,Mercedes-Benz,28,E-Class
150062,2021-09-26,2021-10-02,Lamborghini,11,Murciélago
150063,2021-10-27,2021-11-04,"Land Rover",11,Discovery
150064,2021-09-12,2021-09-29,Hyundai,7,Elantra
150065,2022-05-14,2022-05-31,Chevrolet,28,Astro
150066,2022-06-13,2022-06-30,Chevrolet,15,Blazer
150067,2021-12-25,2022-01-09,Cadillac,11,STS
150068,2022-04-02,2022-04-28,Lexus,18,GS
150069,2022-07-30,2022-08-24,Chevrolet,20,"Suburban 2500"
150070,2021-12-22,2022-01-12,Suzuki,6,X-90
150071,2022-02-15,2022-02-16,Hummer,5,H1
150072,2021-10-31,2021-11-08,Dodge,5,"Ram 2500"
150073,2022-04-15,2022-04-25,Studebaker,14,Avanti
150074,2021-10-31,2021-11-17,Mazda,16,Protege5
150075,2022-02-24,2022-03-12,Dodge,11,"Ram 3500"
150076,2021-10-10,2021-10-27,Toyota,23,Camry
150077,2022-02-10,2022-02-22,Infiniti,29,Q
150078,2022-05-20,2022-06-15,Cadillac,18,"Escalade ESV"
150079,2021-10-15,2021-10-18,Lotus,7,Esprit
150080,2022-07-03,2022-07-30,Lincoln,20,Navigator
150081,2022-01-08,2022-01-20,Audi,13,TT
150082,2022-07-14,2022-08-03,Pontiac,21,"Grand Prix"
150083,2022-03-18,2022-04-01,Honda,11,CR-V
150084,2022-01-28,2022-02-16,BMW,23,"X6 M"
150085,2021-09-04,2021-09-19,Volkswagen,15,CC
150086,2021-11-11,2021-11-20,Mercedes-Benz,23,S-Class
150087,2022-06-02,2022-06-27,Ford,15,Ranger
150088,2021-12-02,2021-12-30,Cadillac,20,STS
150089,2021-12-24,2022-01-04,Lincoln,6,MKT
150090,2021-09-14,2021-10-02,Subaru,6,Tribeca
150091,2022-02-06,2022-02-22,Morgan,5,"Aero 8"
150092,2022-04-03,2022-04-20,Hummer,22,H1
150093,2022-04-14,2022-05-06,Jeep,14,"Grand Cherokee"
150094,2022-07-20,2022-08-19,Chevrolet,13,1500
150095,2022-03-05,2022-03-28,Chevrolet,20,"Silverado 1500"
150096,2021-12-06,2021-12-21,Lexus,6,ES
150097,2021-09-15,2021-09-16,Suzuki,23,XL7
150098,2022-02-18,2022-02-28,Mitsubishi,30,Pajero
150099,2021-10-05,2021-10-14,Ford,30,E150
150100,2021-10-13,2021-11-06,Chrysler,25,Aspen
150101,2022-07-09,2022-07-22,Toyota,25,Avalon
150102,2022-07-11,2022-07-22,Ford,8,"Econoline E250"
150103,2021-12-18,2022-01-15,Chevrolet,23,Beretta
150104,2022-07-28,2022-08-19,Mazda,26,GLC
150105,2022-06-06,2022-06-21,Chevrolet,10,Silverado
150106,2022-06-27,2022-07-03,Mitsubishi,22,Eclipse
150107,2021-10-25,2021-11-22,Dodge,24,"Ram Van 2500"
150108,2022-02-26,2022-03-13,Toyota,11,Corolla
150109,2021-09-04,2021-09-09,Dodge,30,Ramcharger
150110,2022-02-09,2022-03-01,Cadillac,24,SRX
150111,2022-01-30,2022-02-13,Chevrolet,12,Silverado
150112,2022-07-05,2022-07-11,GMC,30,"Vandura 2500"
150113,2022-05-28,2022-06-11,Mazda,25,CX-9
150114,2021-09-03,2021-09-26,Dodge,8,Neon
150115,2022-06-18,2022-07-07,Pontiac,24,Solstice
150116,2021-09-09,2021-10-03,Pontiac,8,"Grand Prix"
150117,2022-05-16,2022-06-02,"Land Rover",14,"Range Rover"
150118,2022-01-07,2022-01-26,GMC,22,"Sierra 1500"
150119,2022-02-28,2022-03-29,Lincoln,8,"Navigator L"
150120,2022-02-28,2022-03-15,"Land Rover",29,Discovery
150121,2022-06-11,2022-06-23,Mitsubishi,20,Mirage
150122,2021-12-12,2022-01-09,Mitsubishi,23,GTO
150123,2022-05-28,2022-06-03,Maybach,21,62
150124,2022-03-06,2022-03-22,Chevrolet,29,Corvette
150125,2022-05-30,2022-06-19,Ford,15,Escort
150126,2022-03-29,2022-04-25,Hummer,23,H1
150127,2021-11-21,2021-11-27,Cadillac,22,DeVille
150128,2022-06-08,2022-06-13,Mercury,25,Mystique
150129,2021-11-13,2021-12-05,Toyota,15,Venza
150130,2022-04-08,2022-04-29,Volvo,27,S40
150131,2022-06-21,2022-06-22,Chevrolet,6,HHR
150132,2021-11-27,2021-12-03,Lincoln,30,Continental
150133,2021-12-24,2022-01-18,Mercedes-Benz,8,SL-Class
150134,2022-01-20,2022-02-01,Saab,12,900
150135,2021-09-17,2021-10-13,Nissan,21,200SX
150136,2022-04-30,2022-05-24,Plymouth,11,"Grand Voyager"
150137,2022-05-15,2022-05-24,GMC,19,1500
150138,2021-10-07,2021-10-28,Infiniti,30,FX
150139,2021-12-15,2021-12-28,Suzuki,10,Swift
150140,2022-02-10,2022-03-03,Porsche,5,944
150141,2021-12-25,2022-01-06,GMC,19,"Envoy XL"
150142,2021-09-03,2021-09-13,Infiniti,21,M
150143,2021-11-10,2021-12-07,Ford,27,Mustang
150144,2021-10-23,2021-10-27,Hyundai,8,XG350
150145,2022-05-12,2022-05-18,Jaguar,12,S-Type
150146,2022-02-16,2022-02-22,Isuzu,17,Hombre
150147,2022-07-06,2022-07-27,Pontiac,28,Torrent
150148,2022-03-29,2022-04-11,Buick,18,Regal
150149,2021-11-29,2021-12-24,Pontiac,6,Montana
150150,2021-10-12,2021-10-15,Chevrolet,16,Corvette
150151,2022-01-17,2022-01-26,Bentley,15,Azure
150152,2021-10-12,2021-11-03,Saturn,7,Astra
150153,2022-03-08,2022-03-13,Bentley,26,Continental
150154,2021-12-25,2022-01-02,Tesla,15,Roadster
150155,2022-05-25,2022-05-26,Volvo,11,V50
150156,2022-01-09,2022-02-08,Buick,21,Riviera
150157,2022-04-19,2022-05-11,Mitsubishi,23,Chariot
150158,2022-01-01,2022-01-10,Toyota,14,Corolla
150159,2022-01-27,2022-02-09,Ford,28,GT
150160,2022-05-08,2022-06-03,Isuzu,15,Hombre
150161,2021-09-23,2021-09-25,Nissan,15,Pathfinder
150162,2021-11-21,2021-12-17,Chevrolet,21,"Suburban 1500"
150163,2022-03-16,2022-03-29,MINI,20,Cooper
150164,2021-11-14,2021-12-09,Dodge,7,Magnum
150165,2022-05-02,2022-05-18,Hyundai,8,Accent
150166,2021-10-02,2021-10-14,Audi,19,A6
150167,2021-10-16,2021-10-22,Jaguar,24,S-Type
150168,2021-10-31,2021-11-06,Mazda,16,MX-5
150169,2021-12-28,2022-01-27,Subaru,14,Forester
150170,2021-10-17,2021-10-29,Bugatti,5,Veyron
150171,2022-06-06,2022-06-25,Mazda,14,Tribute
150172,2022-03-28,2022-04-21,Mitsubishi,22,Mirage
150173,2021-09-18,2021-09-25,Ford,8,Explorer
150174,2022-02-14,2022-03-11,Eagle,25,Summit
150175,2022-05-30,2022-06-01,Ford,19,"Econoline E150"
150176,2022-04-05,2022-04-26,Kia,15,Sportage
150177,2022-07-24,2022-08-11,Mitsubishi,8,Diamante
150178,2022-04-24,2022-04-29,Volkswagen,19,Golf
150179,2022-02-07,2022-03-05,Lincoln,8,"Navigator L"
150180,2022-02-12,2022-02-21,Ford,24,"Expedition EL"
150181,2022-04-06,2022-04-12,Ford,17,"Club Wagon"
150182,2022-01-19,2022-02-02,"Land Rover",17,Discovery
150183,2022-01-29,2022-02-18,Chevrolet,13,"Silverado 1500"
150184,2021-09-25,2021-10-20,Pontiac,17,G8
150185,2022-02-06,2022-02-26,Dodge,6,Caravan
150186,2022-06-01,2022-06-08,Honda,29,Odyssey
150187,2021-10-22,2021-11-10,Audi,12,80
150188,2022-01-14,2022-01-16,Lexus,5,SC
150189,2022-05-17,2022-06-06,"Land Rover",15,Defender
150190,2021-12-03,2021-12-26,Maserati,26,GranSport
150191,2022-02-23,2022-03-19,Volkswagen,10,"New Beetle"
150192,2021-11-17,2021-11-29,Saturn,19,S-Series
150193,2022-04-09,2022-04-28,Toyota,11,"Land Cruiser"
150194,2022-07-22,2022-08-21,Ford,19,"LTD Crown Victoria"
150195,2021-09-06,2021-09-20,Ford,16,Expedition
150196,2021-12-10,2021-12-29,Ford,20,Escort
150197,2022-02-02,2022-02-06,Dodge,14,"Ram Wagon B350"
150198,2022-01-26,2022-02-24,Chrysler,9,"PT Cruiser"
150199,2022-04-09,2022-05-01,GMC,5,"Yukon XL 1500"
150200,2022-03-18,2022-03-27,Ford,9,Ranger
150201,2021-12-18,2021-12-22,GMC,29,"Sierra 3500"
150202,2021-11-28,2021-12-27,Chevrolet,14,Tahoe
150203,2021-12-03,2021-12-06,Cadillac,16,"Escalade EXT"
150204,2022-07-14,2022-07-31,Dodge,12,"Dakota Club"
150205,2021-12-28,2022-01-18,Lexus,14,LS
150206,2021-10-25,2021-11-08,Chevrolet,19,Prizm
150207,2022-06-12,2022-07-05,Mazda,11,929
150208,2021-11-22,2021-12-07,Honda,5,Accord
150209,2022-03-25,2022-04-09,Toyota,28,Cressida
150210,2021-10-18,2021-11-15,Dodge,18,Durango
150211,2022-07-13,2022-07-24,Lotus,14,Elise
150212,2022-05-28,2022-06-21,MINI,24,Cooper
150213,2022-03-27,2022-03-29,Lotus,13,Exige
150214,2022-07-07,2022-07-27,Lexus,13,SC
150215,2022-06-22,2022-06-27,"Aston Martin",26,"DB9 Volante"
150216,2021-10-28,2021-11-21,Mitsubishi,29,Starion
150217,2022-02-20,2022-03-02,Mazda,21,MX-6
150218,2021-09-10,2021-09-21,Chevrolet,13,3500
150219,2022-01-03,2022-01-25,Ford,27,Bronco
150220,2021-10-23,2021-11-03,BMW,16,M6
150221,2022-04-01,2022-04-10,Acura,13,MDX
150222,2022-07-12,2022-08-07,Chevrolet,27,Cavalier
150223,2022-02-09,2022-03-02,GMC,19,Sonoma
150224,2022-07-24,2022-08-18,Kia,25,Sportage
150225,2022-03-25,2022-04-06,Suzuki,19,Swift
150226,2021-11-19,2021-12-03,Ford,17,F150
150227,2022-05-15,2022-06-10,Lexus,29,RX
150228,2022-04-05,2022-04-28,Volkswagen,21,GTI
150229,2022-07-18,2022-08-13,Chevrolet,22,Malibu
150230,2022-02-28,2022-03-11,Ford,5,Windstar
150231,2022-04-14,2022-04-28,Ford,14,Explorer
150232,2022-03-10,2022-03-28,Dodge,28,"Grand Caravan"
150233,2021-11-14,2021-11-26,Infiniti,30,G
150234,2022-04-29,2022-05-16,Mitsubishi,8,RVR
150235,2022-06-15,2022-07-13,Volkswagen,28,"New Beetle"
150236,2022-06-04,2022-06-11,Chevrolet,11,"Express 3500"
150237,2021-10-08,2021-10-29,Subaru,6,Justy
150238,2022-06-04,2022-07-02,Toyota,10,Tundra
150239,2021-09-23,2021-10-21,Dodge,22,Ram
150240,2022-04-28,2022-05-27,Volvo,9,V50
150241,2022-06-08,2022-07-08,Nissan,27,Sentra
150242,2022-07-04,2022-08-01,Mazda,12,"B-Series Plus"
150243,2021-12-20,2022-01-12,Volvo,18,S80
150244,2022-07-05,2022-07-12,Mercedes-Benz,19,C-Class
150245,2022-04-13,2022-05-06,Toyota,17,Previa
150246,2022-05-09,2022-05-21,BMW,28,"3 Series"
150247,2022-07-01,2022-07-08,Buick,29,LaCrosse
150248,2021-11-17,2021-12-10,Geo,14,Tracker
150249,2022-05-13,2022-06-12,Volvo,19,960
150250,2021-12-28,2022-01-23,Audi,10,Allroad
150251,2021-12-05,2021-12-28,Dodge,12,"Grand Caravan"
150252,2021-12-09,2021-12-27,Volkswagen,23,Golf
150253,2021-12-04,2021-12-16,Lincoln,28,Navigator
150254,2021-11-07,2021-11-09,Isuzu,30,VehiCROSS
150255,2022-03-27,2022-04-17,Mercedes-Benz,23,CL-Class
150256,2022-07-05,2022-08-02,Chevrolet,7,Caprice
150257,2022-03-19,2022-03-30,Toyota,26,Avalon
150258,2021-11-11,2021-12-04,Toyota,27,Solara
150259,2022-01-23,2022-02-13,GMC,13,"Yukon XL 2500"
150260,2021-11-02,2021-11-20,Volvo,18,S70
